region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Bosnia and Herzegovina,4376036.1454545455,144485.45454545456,867.753465722633,115.97010209268898,False
Brazil.regions.ES,3761287.872727273,145970.72727272726,14401.071034717083,1.375822766779716,False
Brazil.regions.PB,4034261.727272727,146879.63636363635,3723.160222099363,93.0810023823989,False
Brazil.regions.RN,4178010.3272727267,149894.65454545457,3098.400321034314,117.05176517762742,False
Croatia,3856656.436363636,147615.4909090909,14542.624578779154,5.073043198154334,False
Latvia,4255349.345454545,155703.4,18837.425959130782,78.9888009118675,False
Lithuania,3992702.745454545,153011.29090909092,20521.24417837929,46.859418588495984,False
Brazil.regions.MS,4148474.0727272723,147298.87272727274,6899.553787589938,22.186076946854023,False
Dominican Republic,4244133.4363636365,156625.85454545452,5277.014531115949,310.84404060523104,False
Israel,1488428.0363636364,152749.07272727272,25914.234182689306,251.13014954763457,False
Switzerland,2268751.909090909,148996.50909090906,19239.543454808238,203.87935354289874,False
Togo,4704627.381818182,159342.92727272728,9892.60516131374,344.4031355506491,False
Brazil.regions.SC,3091741.709090909,136998.3818181818,11691.016378557119,49.91702353936628,False
Bulgaria,3660688.090909091,124316.81818181818,5010.346044787211,157.60200655246288,False
Nicaragua,4517844.818181818,155940.38181818184,9611.833248883648,336.77104970508503,False
Serbia,2873117.0545454547,144774.78181818183,16689.388743954303,135.2526562424838,False
Angola,4463361.472727273,154621.7090909091,9644.248014551391,335.26626432247247,False
Peru,1276418.0909090908,49157.96363636363,61.19045611685496,278.2274019555068,False
Austria,2537202.9818181815,147528.69090909092,15189.85292764448,193.03987081499642,False
Azerbaijan,4056369.3636363638,151846.85454545455,3068.3301119005114,261.26022759568804,False
Czechia,1364195.0363636364,122974.41818181817,21687.960133747405,3.784136826929799,False
United Arab Emirates,4067467.909090909,160040.0,2460.354779559943,331.2654653867412,False
El Salvador,4389706.2727272725,152074.9090909091,7750.855098791942,278.7789099362692,False
Hong Kong,4871557.109090909,162031.12727272726,10466.919915031986,350.5062636872426,False
Lebanon,3874873.6,152422.54545454544,4276.675120703486,208.23315047926343,False
Palestine,4125123.2363636363,154320.05454545454,1472.91356701827,246.23868447527067,False
Singapore,4594323.981818182,161403.23636363636,5317.970553520866,337.9074038971658,False
Brazil.regions.PI,4212773.163636364,149102.72727272726,1049.9678894398858,109.69815532724633,False
Brazil.regions.TO,4281028.890909091,152613.23636363636,8611.845821436802,82.61142766382603,False
Gabon,4583879.218181818,157324.47272727275,8003.351398868269,330.00350626441445,False
Antigua and Barbuda,4633735.0,157709.83636363636,2637.376439726226,207.3924558763055,False
Aruba,4607561.345454545,157646.56363636366,21189.470277198496,159.13670350442555,False
Barbados,4545042.2727272725,156776.81818181818,8264.209671048106,236.57634978433154,False
Brazil.regions.MT:Várzea Grande,4468455.345454545,154458.67272727273,7604.8022877094545,181.07520989775392,False
Brazil.regions.RN:Mossoró,4475059.7272727275,155218.34545454546,2025.5961525073978,131.85322549718495,False
Brazil.regions.RN:Parnamirim,4480074.163636363,155374.47272727272,4729.096956742676,122.37575904445193,False
Brazil.regions.RS:Alvorada,4524529.70909091,155540.2181818182,3226.4923724520313,61.16134540425811,False
Brazil.regions.RS:Bento Gonçalves,4503292.872727273,155732.78181818183,16985.362016728483,16.47842637984241,False
Brazil.regions.RS:Camaquã,4501735.127272727,155669.14545454548,3092.63603761959,88.37903590172833,False
Brazil.regions.RS:Canoas,4476069.363636363,154427.52727272728,7311.816036129687,160.39881100786036,False
Brazil.regions.RS:Erechim,4530163.8545454545,156169.32727272727,10868.147022929106,136.76810987194693,False
Brazil.regions.RS:Santa Maria,4471296.490909091,155187.1636363636,9928.089197361849,31.950617611914502,False
Brazil.regions.RS:São Leopoldo,4500493.581818182,155338.25454545452,4966.882114208569,7.847546957568167,False
Brazil.regions.RS:Viamão,4494474.70909091,155144.2909090909,556.7467777621598,26.872335560372324,False
Brazil.regions.SC:Balneário Camboriú,4528248.2727272725,156048.69090909092,13735.323916839161,9.34803151890457,False
Brazil.regions.SC:Blumenau,4447216.981818181,155315.2,12510.464158747702,132.50935091309682,False
Brazil.regions.SC:Chapecó,4486513.236363636,155441.45454545456,15886.908182639005,31.84170424108993,False
Brazil.regions.SC:Criciúma,4494198.872727273,155568.03636363635,12936.011412344513,18.022724167949125,False
Brazil.regions.SC:Itajaí,4487892.8,155325.81818181818,11876.322955174312,40.928517914412645,False
Brazil.regions.SC:Jaraguá do Sul,4500192.454545454,155815.76363636364,14379.614405252018,89.4418017703454,False
Brazil.regions.SC:São José,4504679.600000001,155735.3818181818,9343.143458873148,77.09251085611247,False
Brazil.regions.SC:Tubarão,4535752.981818181,156006.45454545456,14833.537284706392,145.4503110526972,False
Curacao,4592801.181818182,157368.07272727272,13297.650574555393,186.26153810422966,False
Grenada,4529927.472727273,156047.81818181815,1961.5953390123746,151.19984213541164,False
Saint Lucia,4609053.109090908,157275.0909090909,1998.2179349601256,152.53064927096386,False
Saint Vincent and the Grenadines,4601245.5636363635,157165.94545454544,2625.7674380046756,250.46119717731608,False
Seychelles,4581029.781818182,157285.34545454546,29135.10803659995,182.6717855353004,False
Belgium,1956379.5090909088,133350.8,14534.423732651823,104.9383626036475,False
Haiti,4531839.672727273,155709.5090909091,9674.015080546476,333.8357112332115,False
Rwanda,4502001.418181818,156174.07272727272,9111.708860329709,332.3288678343702,False
Bahamas,4576507.327272727,156502.1090909091,1727.6640058860687,149.4419638702385,False
Brazil.regions.MT:Nova Monte Verde,4507814.036363636,155813.45454545456,17184.010495698672,99.6663128526935,False
Brazil.regions.RS:Sant'Ana do Livramento,4526732.8545454545,156061.36363636365,11648.178949349267,80.43617575475425,False
Brunei,4647566.509090909,158259.8909090909,4775.481314648837,322.6677295394062,False
French Polynesia,4574326.490909091,156989.87272727274,10092.160138409276,117.83080109489642,False
Montenegro,4370156.654545455,154435.96363636365,26205.787272909292,78.96756201237964,False
Sweden.regions.Halland,4613036.781818181,158699.74545454548,20473.28904429094,231.49080405215753,False
Sweden.regions.Jönköping,4743561.636363637,160580.40000000002,12744.83078736664,181.1847387762656,False
