region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Albania,180568.52727272725,9151.563636363637,1302.106608960396,69.41603852483674,False
Armenia,165413.27272727274,9001.727272727272,316.77247636562356,53.194190063906376,False
Brazil.regions.AL,119539.81818181818,7671.745454545454,494.66830931637594,26.055137195753016,False
Kuwait,139815.45454545456,9463.254545454545,47.709957115412365,69.91750762590596,False
Moldova,162431.74545454548,8567.436363636363,868.0377172094107,55.92303404165437,False
United_States_of_America.regions.Arizona:Maricopa,136907.59999999998,8916.672727272728,104.0526118549082,58.423595852659695,False
Brazil.regions.RJ:Rio de Janeiro,115732.12727272726,830.4363636363637,445.04459759266814,50.90626704823284,False
El_Salvador,143791.27272727274,8148.272727272727,1023.9625196216832,62.447208929955515,False
Lebanon,204609.47272727275,9866.4,1636.1798726500244,80.10531135725512,False
United_States_of_America.regions.Maryland,97513.52727272725,5895.218181818182,28.923778622946113,18.17830631654222,False
United_States_of_America.regions.Massachusetts,97493.12727272726,1564.9636363636362,82.49048184143932,40.33109084988967,False
Bahamas,168789.6181818182,8922.745454545455,1151.970861178418,69.192825715008,False
Brazil.regions.AC:Rio Branco,154742.85454545455,8339.30909090909,981.0984835425697,17.940772398456364,False
Brazil.regions.PA:Marabá,147626.50909090906,8034.381818181818,805.05421181204,8.05394513863029,False
Montenegro,162267.92727272725,8717.4,769.0751144893067,61.145355893881714,False
Sweden.regions.Jönköping,200920.81818181818,9612.327272727272,353.86307588780693,30.03848793333968,False
Sweden.regions.Kalmar,179936.41818181818,9163.818181818182,1151.2361753723865,49.96011194664765,False
Sweden.regions.Uppsala,202080.41818181818,9553.327272727272,716.651426436652,16.420125178602873,False
Sweden.regions.Örebro,194714.85454545452,9394.581818181818,761.2237069657599,21.498180889092144,False
Sweden.regions.Östergötland,174562.81818181818,8906.181818181818,671.4696953794296,18.174890943230398,False
United_States_of_America.regions.Alaska:Ketchikan Gateway Borough,164146.36363636365,8701.672727272728,970.0190766507977,71.0223342485786,False
United_States_of_America.regions.Arizona:Cochise,156000.16363636364,8336.509090909092,21.1526260334234,26.799359003813255,False
United_States_of_America.regions.Arizona:Graham,169163.32727272727,8922.945454545456,17.291753969039902,35.82116414064803,False
United_States_of_America.regions.Arizona:La Paz,146541.92727272728,7954.545454545455,1060.5382738057679,10.321520356094359,False
United_States_of_America.regions.Arizona:Pinal,181680.96363636365,9259.618181818181,258.03930536082123,43.78349130938705,False
United_States_of_America.regions.Arizona:Yuma,148088.92727272728,8196.854545454546,4078.138302759375,63.98178608793193,False
United_States_of_America.regions.California:Imperial,149917.49090909094,8241.836363636363,4036.2231160135457,63.102585843997026,False
United_States_of_America.regions.California:Monterey,158941.78181818183,8666.709090909091,129.27094196312208,62.9673289927191,False
United_States_of_America.regions.California:San Luis Obispo,167579.0181818182,8920.763636363636,636.7860162249294,67.0825993929286,False
United_States_of_America.regions.California:Shasta,180302.19999999998,9216.472727272725,1238.1988282344303,70.11075346923037,False
United_States_of_America.regions.California:Siskiyou,157551.36363636365,8388.98181818182,1068.4181979346183,68.47017686941837,False
United_States_of_America.regions.California:Tulare,163163.85454545452,8868.50909090909,860.8265247128821,32.06508609725683,False
United_States_of_America.regions.Colorado:Weld,168164.8363636364,8862.690909090908,265.6829033267229,29.358455775967478,False
United_States_of_America.regions.Hawaii:Hawaii,164070.38181818184,8701.672727272728,1276.9292602255261,71.0223342485786,False
United_States_of_America.regions.Idaho:Custer,147009.52727272725,7966.090909090909,978.7418987462984,65.01857619015986,False
United_States_of_America.regions.Minnesota:St. Louis,157120.3818181818,8369.98181818182,1022.4591022893554,58.92579549603213,False
United_States_of_America.regions.Montana:Flathead,161020.36363636365,8557.272727272726,1006.1653962390327,67.93340630209262,False
United_States_of_America.regions.Nevada:Washoe,187020.40000000002,9349.58181818182,358.4993470388158,52.10722909472913,False
