region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Feira de Santana,311.31143799137715,53.013779693972445,218.18593615873635,32.60422311348722,False
Brazil.regions.ES:Serra,445.7501523461304,9.101157830591102,61.261641771076924,21.67689655645365,False
Brazil.regions.ES:Vila Velha,460.6876569788303,27.115177610333692,61.781492839929676,26.906400414862812,False
Brazil.regions.GO:Aparecida de Goiânia,293.78830750478846,49.67220964652621,212.25022524504797,31.788306809886556,False
Brazil.regions.MG:Betim,321.9929161747344,49.49281778827233,206.25609715151026,30.72624923172853,False
Brazil.regions.MG:Contagem,277.4733864620228,48.29397874852421,201.53564894458447,30.653283685740774,False
Brazil.regions.MG:Juiz de Fora,177.89804717220392,46.61763462676473,193.900237768953,31.472087207711635,False
Brazil.regions.MG:Uberlândia,175.30831008538337,46.065601487868804,199.64384077459485,31.60978253403427,False
Brazil.regions.MS:Campo Grande,259.1191140417618,51.00092991799814,215.54005797042151,32.40976569318961,False
Brazil.regions.MT:Cuiabá,184.12367082755435,50.110957004160895,190.33983757517652,31.41369119753999,False
Brazil.regions.PA:Ananindeua,402.41951219512185,29.1159891598916,81.53975133781753,19.016271013683053,False
Brazil.regions.PB:Campina Grande,183.94991304347823,42.39072463768115,156.33971267812447,27.108757622997057,False
Brazil.regions.PB:João Pessoa,553.0239421904928,14.816733414591678,115.28206825137318,27.046173522094083,False
Brazil.regions.PE:Jaboatão dos Guararapes,579.2315495815369,41.25031701749937,100.64269516388133,20.145760123762376,False
Brazil.regions.PI:Teresina,343.6747398636527,33.59974883387155,147.50685628922488,29.86416919001293,False
Brazil.regions.PR:Londrina,266.2429622115141,42.41229182517542,209.46205259103976,30.735816226329685,False
Brazil.regions.PR:Maringá,310.0468396308549,48.209994776249346,211.32033410176183,31.225445652520918,False
Brazil.regions.RJ:Belford Roxo,79.71398150742506,20.37769683384702,149.55717503400544,23.437850508364136,False
Brazil.regions.RJ:Campos dos Goytacazes,208.10699674813804,44.434595615231295,179.90283269043937,29.093642123781958,False
Brazil.regions.RJ:Duque de Caxias,248.6983111297598,40.23235078149585,141.83956142811064,20.332659974501155,False
Brazil.regions.RJ:Niterói,183.0249387099501,28.489728633020544,145.75897711048887,27.810161615409537,False
Brazil.regions.RJ:Nova Iguaçu,254.94857485748574,11.897389738973898,120.99191602383108,20.435901492386222,False
Brazil.regions.RJ:São João de Meriti,51.36972624798712,13.486956521739128,116.48687032208113,19.606726828679324,False
Brazil.regions.RN:Natal,240.02003550595992,39.81908868036183,164.11525365910836,31.141126500179723,False
Brazil.regions.RS:Caxias do Sul,327.5430721109139,53.05266717389467,219.2719977610526,32.59224994659482,False
Brazil.regions.SC:Florianópolis,92.00422689999155,49.42683236114633,171.94062275727674,31.86634578816107,False
Brazil.regions.SC:Joinville,210.62279144475443,48.906500972187004,200.70969275741803,31.904645562946538,False
Brazil.regions.SE:Aracaju,533.6642996026715,44.0032969819934,125.10299473863478,31.238964692442373,False
Brazil.regions.SP:Diadema,79.40115942028986,16.93855072463768,101.21860643031705,21.132068267885924,False
Brazil.regions.SP:Jundiaí,119.54796747967481,30.036856368563683,148.30510111171142,25.048178150355554,False
Brazil.regions.SP:Mauá,132.45219376109566,33.367993913264016,169.897645898225,28.421116926911157,False
Brazil.regions.SP:Mogi das Cruzes,95.6451687471105,27.0998613037448,143.5785448504543,26.136972340643382,False
Brazil.regions.SP:Osasco,578.7622322827791,54.951244993905625,90.06886105677745,17.197898307334082,False
Brazil.regions.SP:Ribeirão Preto,93.26623704118803,38.40375455309611,161.91995344667325,27.420125918908237,False
Brazil.regions.SP:Santo André,313.75889762448224,22.003127905993747,135.39318862247706,27.610881848936813,False
Brazil.regions.SP:Santos,583.7742351046699,13.217391304347823,34.91139794881647,13.447349631950829,False
Brazil.regions.SP:Sorocaba,107.48846376811592,25.656000000000002,159.42941802165905,24.963304332308148,False
Brazil.regions.SP:São Bernardo do Campo,411.13923408572157,22.283794065432414,135.10297745700913,25.51554746338449,False
Brazil.regions.SP:São José do Rio Preto,179.8317952289744,44.49939056242383,184.1787101211483,30.515292998768725,False
Brazil.regions.SP:São José dos Campos,106.8337976667247,40.923297927912245,187.03533845012578,30.693652469444334,False
Cape_Verde,177.50993989828942,50.30235783633842,185.52657616486778,31.409834690350642,False
Comoros,32.41822766570605,3.249279538904899,31.901842508308036,2.1091828834304667,False
Luxembourg,2498.0448051399107,7.381858145236284,246.0901896878822,23.02640844600379,False
Maldives,202.03626680192747,52.80243469439513,172.1240572137232,32.544731841726225,False
Malta,35.103474511793046,50.729985628540035,150.9238519605035,32.10576377841389,False
United_States_of_America.regions.Alabama:Jefferson,475.322512469355,14.592526840814948,99.71250596737987,26.624865740563497,False
United_States_of_America.regions.California:San Francisco,191.82568264434863,50.91596922816806,204.726956373737,32.39536860828347,False
United_States_of_America.regions.California:San Joaquin,67.0951052498098,33.06154366387691,170.6468737581611,29.995608202840078,False
United_States_of_America.regions.California:San Mateo,415.1506467156987,24.047256741905485,125.49930534649603,28.844565174006217,False
United_States_of_America.regions.California:Sonoma,234.57333671485333,52.07244906585511,200.1567644096569,32.3903327515818,False
United_States_of_America.regions.California:Stanislaus,69.28751373742497,43.275002113449986,172.69043714275156,30.824435842510972,False
United_States_of_America.regions.California:Ventura,87.18902696762194,39.1309493617381,173.9305353845175,30.98773353139173,False
United_States_of_America.regions.Colorado:Adams,1039.9242539521515,8.994843182010314,60.66654586586717,22.17465339279393,False
United_States_of_America.regions.Colorado:Arapahoe,1573.6239749767524,52.11556344576888,76.20971637219432,16.77647462139558,False
United_States_of_America.regions.Colorado:Denver,1767.5724913348552,50.33181164933638,81.6204859608959,18.57724123023097,False
United_States_of_America.regions.Colorado:El Paso,343.3728125792544,7.115563445768873,129.0342180242445,25.71777759298697,False
United_States_of_America.regions.Colorado:Jefferson,583.9549412460901,13.36503508326993,64.33338149449833,24.48504438920855,False
United_States_of_America.regions.Connecticut:Fairfield,8101.691436300618,524.6073209907854,670.5505805643197,29.07644001703476,False
United_States_of_America.regions.Connecticut:Hartford,4733.0015216839965,547.9157156141687,344.5292413121022,35.18859790889416,False
United_States_of_America.regions.Connecticut:New Haven,6170.082762701834,410.88469016823063,537.3201500425645,21.93636369898418,False
United_States_of_America.regions.Delaware,3556.990531744019,76.0216417279567,181.0766911401416,19.39318167585643,False
United_States_of_America.regions.Delaware:New Castle,1137.3071265533858,14.193507481612986,48.87106081153899,22.52819663191349,False
United_States_of_America.regions.District of Columbia,2937.226054611548,99.05993744188014,245.26819571074108,12.186664052778633,False
United_States_of_America.regions.District of Columbia:District of Columbia,2937.226054611548,99.05993744188014,245.26819571074108,12.186664052778633,False
United_States_of_America.regions.Florida:Brevard,110.47992222504016,46.186490827627026,184.22933903531975,31.467945369845616,False
United_States_of_America.regions.Florida:Duval,508.22495561755017,33.67951644264097,136.3003424662107,30.612822277279587,False
United_States_of_America.regions.Florida:Lee,397.4238735311522,22.113788147772425,128.94564588979546,28.612043433188038,False
United_States_of_America.regions.Florida:Pasco,164.31126891537747,48.364612393270775,190.51945687526285,31.754357904857716,False
United_States_of_America.regions.Florida:Pinellas,248.2137966015724,22.22123594555753,164.61140937628954,29.481548488370287,False
United_States_of_America.regions.Florida:Polk,128.4789077690422,28.190464113619072,159.06660710761562,29.19175866009055,False
United_States_of_America.regions.Florida:Seminole,66.8952574182095,47.022994335954024,159.66112284523783,31.305342616002974,False
United_States_of_America.regions.Florida:Volusia,40.145997125708014,38.94665652210669,166.95421443970133,30.051032205413048,False
United_States_of_America.regions.Georgia:Cobb,866.53504100093,15.109814861780373,65.20168856466724,24.09585352473668,False
United_States_of_America.regions.Georgia:DeKalb,1228.5979372728043,16.86490827627019,23.508335104187026,27.734993268174545,False
United_States_of_America.regions.Georgia:Gwinnett,944.1187758897624,16.01910558796179,87.85557626085087,27.900873929816747,False
United_States_of_America.regions.Hawaii:Honolulu,68.64789923070421,46.6560994166878,195.017031827219,31.987381929770976,False
United_States_of_America.regions.Illinois:DuPage,2787.7081748245837,108.87564460224871,117.3276948367862,15.10686267525379,False
United_States_of_America.regions.Illinois:Kane,1161.7032716205936,16.68526502662947,132.68944262673304,23.666351061837055,False
United_States_of_America.regions.Illinois:Lake,2824.4138135091725,56.71316256657367,231.44658194168446,16.89938965090616,False
United_States_of_America.regions.Illinois:Will,2353.0722799898554,97.43613154112775,166.4332971425468,11.152079666297812,False
United_States_of_America.regions.Indiana:Lake,1506.4208301631584,41.94986896610026,159.0926651214267,13.038261011406423,False
United_States_of_America.regions.Indiana:Marion,3733.3884521092236,173.41237636317524,201.94940877931035,10.164772813786886,False
United_States_of_America.regions.Iowa:Polk,1041.5100177529798,19.038802941922395,129.98104801925422,24.759780360150224,False
United_States_of_America.regions.Kansas:Johnson,29.881055034237896,24.498689661002622,166.72231080433846,27.868657868606785,False
United_States_of_America.regions.Kansas:Sedgwick,22.55615357014711,40.52655184786509,149.0541109205836,29.726908871605886,False
United_States_of_America.regions.Kentucky:Jefferson,599.4111082931778,17.00862287598276,101.73238883478034,23.603575944894523,False
United_States_of_America.regions.Louisiana:Jefferson,4752.172034829656,220.19316932961368,956.9388099286397,30.606620642210423,False
United_States_of_America.regions.Maryland:Anne Arundel,1230.022571645955,24.750612900498776,60.41572319015866,19.40059581043341,False
United_States_of_America.regions.Maryland:Baltimore,2089.3239496153524,54.871502240257,78.40753724671416,19.85474978881134,False
United_States_of_America.regions.Maryland:Baltimore city,1865.7977851044045,56.824752726350496,149.7448363792514,14.161047862604416,False
United_States_of_America.regions.Maryland:Prince George's,4641.278721785443,129.6301462507397,330.7481063232651,12.741755424712755,False
United_States_of_America.regions.Massachusetts:Bristol,2943.7177276185644,115.12680699974639,358.773668266891,7.627031437062807,False
United_States_of_America.regions.Massachusetts:Essex,6434.306196635388,299.106010651788,635.4047945258596,15.40224148655259,False
United_States_of_America.regions.Massachusetts:Hampden,3035.084707075831,270.62135429875735,502.7043799096859,36.822626178826106,False
United_States_of_America.regions.Massachusetts:Norfolk,3122.7961788824077,206.92070335615858,277.0115611490093,16.48180567791555,False
United_States_of_America.regions.Massachusetts:Plymouth,4176.856454476288,210.32378053935247,644.7925221720081,18.571141093340366,False
United_States_of_America.regions.Massachusetts:Suffolk,662.6309916307381,45.8597514582805,150.30967132511807,31.736946563113882,False
United_States_of_America.regions.Massachusetts:Worcester,3784.1664553216665,148.92002705215995,277.7317582696903,12.700863987031024,False
United_States_of_America.regions.Michigan:Kent,945.9933214980136,24.14616620170767,64.25701345729057,28.216234299856314,False
United_States_of_America.regions.Michigan:Macomb,4270.599966184801,434.93490574013015,303.0560999632662,23.198402375391915,False
United_States_of_America.regions.Minnesota:Ramsey,168.41262997717473,35.06213542987574,167.58259371963032,29.33090271851738,False
United_States_of_America.regions.Missouri:Jackson,71.05511877588977,41.27162059345677,181.94369291539675,30.94385804427322,False
United_States_of_America.regions.Missouri:St. Louis,1934.4988587370024,66.88604277622791,26.999310961878855,20.80436529939548,False
United_States_of_America.regions.Nebraska:Douglas,211.29097979541802,49.169836841660334,199.83722581695787,31.924078206255327,False
United_States_of_America.regions.New Jersey:Bergen,10520.680615436639,657.8835911742327,941.1396816944422,44.37218180620798,False
United_States_of_America.regions.New Jersey:Camden,2074.666666666667,50.41888578916223,266.2129195959873,13.548634437543772,False
United_States_of_America.regions.New Jersey:Essex,10901.54002874292,897.0428607659144,1182.8586412869204,86.28303315668043,False
United_States_of_America.regions.New Jersey:Hudson,10797.991292586017,512.4499112351002,1433.4181976112784,51.9425009329213,False
United_States_of_America.regions.New Jersey:Middlesex,9028.233071265535,415.2075407895849,911.196026911589,24.307196619410718,False
United_States_of_America.regions.New Jersey:Monmouth,4409.323357849354,209.3988502832023,544.7791832090156,10.705195268610613,False
United_States_of_America.regions.New Jersey:Morris,3979.833206526334,285.918505368163,656.8549525677811,36.3465711576989,False
United_States_of_America.regions.New Jersey:Ocean,5134.56547468087,297.94403584411197,678.8745442099255,25.208877880569418,False
United_States_of_America.regions.New Jersey:Passaic,8692.727872178542,332.3657959252684,1579.0687875930528,44.99304896415998,False
United_States_of_America.regions.New Jersey:Union,9137.501648490996,444.71003466058,1481.5238092438265,57.22883190208371,False
United_States_of_America.regions.New Mexico:Bernalillo,327.2838786034323,22.795671654408654,125.14349654260589,28.1637370404406,False
United_States_of_America.regions.New York:Erie,2803.694056978612,193.7357342125285,117.49253829193115,7.778339586396086,False
United_States_of_America.regions.New York:Monroe,881.940485248119,31.626088426747824,59.083814200478876,21.21973373749239,False
United_States_of_America.regions.New York:Westchester,20612.57654915885,683.1803195536394,1940.7282074196519,44.779496560616444,False
United_States_of_America.regions.North Carolina:Guilford,131.36527076440888,24.398398049799756,137.3094063212813,27.029832418949624,False
United_States_of_America.regions.Ohio:Hamilton,976.4494079655542,20.008073196986008,58.360736579040946,23.180995116694977,False
United_States_of_America.regions.Ohio:Lucas,843.8099585763802,55.1850536816299,58.12519168789261,9.659606231055633,False
United_States_of_America.regions.Ohio:Montgomery,55.832436311445996,43.336024398995335,159.55822405241315,30.321348151284933,False
United_States_of_America.regions.Ohio:Summit,225.6491673007017,15.88638092822724,117.539028916844,22.804365345096205,False
United_States_of_America.regions.Oklahoma:Oklahoma,317.7638008284725,25.057908529884184,141.66167296030432,29.021300231011935,False
United_States_of_America.regions.Oklahoma:Tulsa,59.1566489136867,31.049961957900077,164.29836851020684,29.238641223252117,False
United_States_of_America.regions.Oregon:Multnomah,205.3315580353369,20.638515512722968,157.2960619819687,28.636540548190503,False
United_States_of_America.regions.Oregon:Washington,52.88367571223265,46.89661002620678,175.0027769997444,31.58526830282532,False
United_States_of_America.regions.Pennsylvania:Bucks,2126.7716628624567,134.60943444078111,172.1221381915792,10.469433238040303,False
United_States_of_America.regions.Pennsylvania:Chester,885.0718572998563,55.86947332826106,33.74112974058687,12.489662942563994,False
United_States_of_America.regions.Pennsylvania:Delaware,2276.8447882323107,104.89601826020797,247.24811209635584,14.673106995337491,False
United_States_of_America.regions.Pennsylvania:Lancaster,1388.4635809113743,118.75762468604235,99.08235852337208,3.7066520754832033,False
United_States_of_America.regions.Pennsylvania:Montgomery,2738.9898554400206,186.28413221743176,150.41537551137336,11.799178847432302,False
United_States_of_America.regions.Rhode Island:Providence,6098.30352303523,155.1051490514905,804.6025748089295,5.389403492089634,False
United_States_of_America.regions.South Carolina:Greenville,309.9561247780878,25.151323019697358,97.77362371461648,27.265519700034286,False
United_States_of_America.regions.Tennessee:Davidson,1778.194014709612,32.130780285738446,82.96488211556947,29.60493376784576,False
United_States_of_America.regions.Tennessee:Knox,167.01225800997548,49.65085806069829,184.30240143265567,31.859602336480794,False
United_States_of_America.regions.Tennessee:Shelby,1591.972609688055,14.526164510947671,30.589603094267442,28.404674941292964,False
United_States_of_America.regions.Texas:Denton,364.9672837940655,34.35708851128583,145.13417709560588,30.52128491324156,False
United_States_of_America.regions.Texas:El Paso,510.6320906247358,33.7509510524981,123.61048349577287,30.334676930936627,False
United_States_of_America.regions.Texas:Fort Bend,361.0843689238313,36.65567672668865,139.09954453624016,30.612240599499454,False
United_States_of_America.regions.Texas:Hidalgo,53.238749606629604,42.95657190810867,166.40137051149628,29.31772434796101,False
United_States_of_America.regions.Texas:Montgomery,101.22512469354974,43.79279736241441,151.5874092073246,31.084908173623255,False
United_States_of_America.regions.Texas:Williamson,66.88459864182482,42.33806372975797,173.83325580604176,30.558721008827302,False
United_States_of_America.regions.Utah:Utah,530.1840392256319,46.519147856961716,86.30297018115458,31.58666330811999,False
United_States_of_America.regions.Virginia:Prince William,1248.9123340941755,26.798123256403755,147.2191065270345,27.000820869132674,False
United_States_of_America.regions.Virginia:Virginia Beach city,60.26908445346183,44.21421929157157,157.6305764825191,30.61338324854799,False
United_States_of_America.regions.Washington:Clark,110.49387099501227,37.92205596415589,174.38977159655806,29.47113628967673,False
United_States_of_America.regions.Washington:Pierce,727.6158593287684,18.812241102375516,106.6839782383921,28.855816250242718,False
United_States_of_America.regions.Washington:Snohomish,236.63259785273476,49.30256150139488,203.9055229578043,32.17704071432454,False
United_States_of_America.regions.Washington:Spokane,156.6869557866261,42.08977935582044,186.78754738522233,30.49774712653014,False
United_States_of_America.regions.Wisconsin:Dane,253.28108884943782,50.62304505875392,206.29018937533,32.154914149241364,False
United_States_of_America.regions.Wisconsin:Milwaukee,2476.591427846817,105.24431481951137,73.01706519106118,15.984619925474208,False
United_States_of_America.regions.Florida,21165.755600642493,650.7513737424973,128.1765987655297,29.421760601604667,False
United_States_of_America.regions.New York,199134.4463606391,13927.027221235947,800.0853091895509,40.366692895025054,False
Belgium,7158.116662439767,513.611463352777,163.02773759889064,27.95991152957783,False
Burundi,269.23633934535746,40.08416833667334,177.6070413209225,25.0062464329734,False
Dominican_Republic,3755.8946656522107,134.04387522191226,189.6481290941313,30.943121184991313,False
Haiti,201.9527269465375,41.30561535701471,220.11436035775185,31.955881121756303,False
Rwanda,169.60808183278382,53.605545692788915,226.78336134374578,32.70046525800129,False
Laos,318.3491031154936,49.24735130598972,204.90752098423735,30.041878682838128,False
United_States_of_America.regions.Minnesota,3832.179051483642,183.22681545354638,153.8761866311082,28.51356754077879,False
Bhutan,368.773522698453,53.605545692788915,227.70540619247473,32.70046525800129,False
Brazil.regions.AM:Borba,13.600946372239747,2.4658254468980023,148.63185873671833,11.626857833653467,False
Brazil.regions.AM:Canutama,115.11111111111113,12.253743104806937,34.27390147939114,7.475030717448979,False
Brazil.regions.AM:Humaitá,67.88007831620166,6.26040137053353,22.02029906802024,3.506232112810511,False
